rank,name,id,bubble,reviewCount,priceRange,claimed,travelers,photos,thefork,justeat,cuisines,diets,meals,features,neigh,excellent,verygood,average,poor,terrible,revEnglish,revSpanish
168,Restaurante Ablanedo,d13113389,4.5,211,$$ - $$$,True,False,118,True,True,"Mediterranean, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Arguelles,6,1,0,0,0,7,195
169,Angelita Madrid,d10159455,4.5,810,$$ - $$$,True,True,922,False,False,"International, Mediterranean, European, Spanish, Fusion, Wine Bar","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Reservations, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Justicia,164,27,4,5,1,201,520
170,La Levantera,d15328340,4.5,569,$$ - $$$,True,True,278,True,False,"Mediterranean, Spanish","Vegetarian Friendly, Gluten Free Options",,,Salamanca (District),19,1,1,0,2,23,524
171,Noi Ristorante,d17723730,4.5,244,$$ - $$$,True,True,321,False,False,"Italian, Healthy, Neapolitan, Campania, Romana, Lazio, Sicilian","Vegetarian Friendly, Vegan Options",,,Salamanca (District),26,2,1,0,0,29,204
172,Casa Lucas,d1822624,4.5,1381,$$ - $$$,True,True,435,False,False,"Mediterranean, European, Spanish, Wine Bar","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night",,Centro,389,101,24,6,2,522,424
173,De Cháchara,d12036053,4.5,370,$$ - $$$,True,False,299,False,True,"Mediterranean, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,,4,0,0,0,0,4,362
174,GastroVía 61,d7622713,4.5,2044,$$ - $$$,True,True,1879,True,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Brunch","Reservations, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",Centro,205,25,11,6,9,256,1481
175,Brunch Club Cafe,d12209860,4.5,428,$,True,True,364,False,False,"British, Cafe, International, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Breakfast, Brunch, Drinks","Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Universidad,113,27,5,3,3,151,173
176,Restaurante La Malontina,d1222048,4.5,2196,$$ - $$$,True,True,947,False,False,"International, Mediterranean, Spanish, Healthy, Fusion",Gluten Free Options,"Lunch, Dinner, Late Night",,Huertas,384,84,26,5,5,504,1362
177,Triana,d3134591,4.0,652,$$ - $$$,True,True,226,False,False,"Mediterranean, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Retiro,24,15,2,1,1,43,591
178,Restaurante DCorazon,d14117482,4.5,3012,$$ - $$$,True,True,1279,False,False,"Mediterranean, European, Spanish, International, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Sol,727,65,22,18,17,849,1588
179,La Cabrera Madrid,d25374513,5.0,119,,False,False,66,False,False,"Steakhouse, Argentinean",,"Lunch, Dinner, Late Night, Drinks","Reservations, Table Service, Seating",0.3 miles from Plaza Colon,4,0,0,0,2,6,108
180,Quispe Madrid,d13427168,4.5,342,$$ - $$$,True,True,587,False,False,"Peruvian, Fusion, Latin","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salesas,25,3,2,1,2,33,286
181,Salmon Guru,d10731641,4.5,604,$$ - $$$,True,True,688,False,False,Bar,,"Late Night, Drinks","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Huertas,176,21,5,2,3,207,313
182,Kaiten Sushi Madrid,d23795463,4.5,277,$$ - $$$,False,True,228,False,False,"Japanese, Sushi, Asian",Vegetarian Friendly,"Lunch, Dinner",,0.0 miles from Gran Via,6,0,0,0,1,7,264
183,MANDA CARALLO,d7087676,4.5,422,$$ - $$$,True,False,153,False,False,"Spanish, Healthy",Gluten Free Options,,,,3,0,0,0,0,3,403
184,RECREO Espartinas,d10678592,4.5,366,$$ - $$$,True,True,426,False,False,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,Salamanca (District),20,4,0,0,0,24,325
185,Okashi Sanda,d3863661,4.5,452,$$ - $$$,True,True,446,False,False,"Japanese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Universidad,21,3,1,0,1,26,414
186,Brew Wild Pizza Bar,d12493147,4.5,382,$$ - $$$,True,False,515,False,True,"Italian, Brew Pub, Bar, Pizza","Vegetarian Friendly, Vegan Options",,,Huertas,123,20,1,2,4,150,198
187,Asador Nuevo Porche,d2252177,4.5,332,$$ - $$$,True,False,218,True,False,"Steakhouse, Mediterranean, European, Spanish",Gluten Free Options,,,Barajas (District),27,11,3,1,0,42,263
188,Mawey Taco Bar - Gran Vía,d15873362,4.5,361,$$ - $$$,True,True,518,False,False,"Mexican, Fusion",Gluten Free Options,,,Centro,29,3,3,0,1,36,300
189,Taberna Maldeamores,d7258827,4.5,293,$$ - $$$,True,False,288,False,False,"Mediterranean, European, Spanish, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks",,Centro,15,1,0,0,0,16,246
190,Everest Tandoori Nepali-Indian Restaurant,d9832154,4.5,978,$$ - $$$,True,False,487,False,False,"Indian, Asian, Tibetan, Nepali","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",,Canillas,113,20,2,2,0,137,808
